DECRETO,PUBLICACAO,INDICE,CLASSIFICACAO
21340,13/03/2020,-0.7308,Aumenta medidas de distanciamento
21347,16/03/2020,-0.3462,Aumenta medidas de distanciamento
21354,18/03/2020,-0.3462,Mantem medidas de distanciamento
21357,19/03/2020,-0.1538,Aumenta medidas de distanciamento
21368,27/03/2020,0.3846,Aumenta medidas de distanciamento
21421,7/4/2020,0.3462,Flexibiliza medidas de distanciamento
21444,12/4/2020,0.3846,Aumenta medidas de distanciamento
21459,17/04/2020,0.3462,Flexibiliza medidas de distanciamento
21469,20/04/2020,0.3462,Mantem medidas de distanciamento
21471,21/04/2020,0.1923,Flexibiliza medidas de distanciamento
21478,22/04/2020,0.2692,Aumenta medidas de distanciamento
21506,27/04/2020,0.2692,Mantem medidas de distanciamento
21546,11/5/2020,0.2308,Flexibiliza medidas de distanciamento
21559,13/05/2020,0.3846,Aumenta medidas de distanciamento
21569,15/05/2020,0.2308,Flexibiliza medidas de distanciamento
21603,26/05/2020,0.2308,Mantem medidas de distanciamento
21609,27/05/2020,0.2308,Mantem medidas de distanciamento
21620,2/6/2020,0.1923,Flexibiliza medidas de distanciamento
21627,4/6/2020,0.2692,Aumenta medidas de distanciamento
21635,8/6/2020,0.2692,Mantem medidas de distanciamento
21652,16/06/2020,0.3077,Aumenta medidas de distanciamento
21673,22/06/2020,0.3077,Mantem medidas de distanciamento
21691,29/06/2020,0.2692,Flexibiliza medidas de distanciamento
21692,30/06/2020,0.2692,Mantem medidas de distanciamento
21713,6/7/2020,0.2308,Flexibiliza medidas de distanciamento
21729,10/7/2020,0.2308,Mantem medidas de distanciamento
